Array Size, Qty operations, method
148,591,Radixsort
149,15890,Bubblesort
149,10632,Insertionsort
149,3031,Heapsort
149,2878,Mergesort
149,1642,Quicksort
149,595,Radixsort
150,16777,Bubblesort
150,11858,Insertionsort
150,3000,Heapsort
150,2892,Mergesort
150,1742,Quicksort
150,599,Radixsort
151,17028,Bubblesort
151,12284,Insertionsort
151,3021,Heapsort
151,2908,Mergesort
151,1554,Quicksort
151,603,Radixsort
152,17473,Bubblesort
152,12586,Insertionsort
152,3053,Heapsort
152,2924,Mergesort
152,1752,Quicksort
152,607,Radixsort
153,17363,Bubblesort
153,12400,Insertionsort
153,3095,Heapsort
153,2950,Mergesort
153,1563,Quicksort
153,611,Radixsort
154,17607,Bubblesort
154,13040,Insertionsort
154,3085,Heapsort
154,2964,Mergesort
154,2147,Quicksort
154,615,Radixsort
155,18028,Bubblesort
155,13426,Insertionsort
155,3163,Heapsort
155,2980,Mergesort
155,1703,Quicksort
155,619,Radixsort
156,17871,Bubblesort
156,12434,Insertionsort
156,3138,Heapsort
156,2996,Mergesort
156,1978,Quicksort
156,623,Radixsort
157,17601,Bubblesort
157,11572,Insertionsort
157,3243,Heapsort
157,3016,Mergesort
157,1683,Quicksort
157,627,Radixsort
158,17369,Bubblesort
158,10728,Insertionsort
158,3269,Heapsort
158,3032,Mergesort
158,2015,Quicksort
158,631,Radixsort
159,18454,Bubblesort
159,12946,Insertionsort
159,3218,Heapsort
159,3050,Mergesort
159,1719,Quicksort
159,635,Radixsort
160,18593,Bubblesort
160,13130,Insertionsort
160,3274,Heapsort
160,3068,Mergesort
160,1938,Quicksort
160,639,Radixsort
161,18904,Bubblesort
161,12916,Insertionsort
161,3313,Heapsort
161,3140,Mergesort
161,2007,Quicksort
161,643,Radixsort
162,18903,Bubblesort
162,12346,Insertionsort
162,3348,Heapsort
162,3152,Mergesort
162,2018,Quicksort
162,647,Radixsort
163,19449,Bubblesort
163,13454,Insertionsort
163,3330,Heapsort
163,3166,Mergesort
163,2271,Quicksort
163,651,Radixsort
164,19649,Bubblesort
164,13602,Insertionsort
164,3380,Heapsort
164,3180,Mergesort
164,1895,Quicksort
164,655,Radixsort
165,20661,Bubblesort
165,15066,Insertionsort
165,3362,Heapsort
165,3198,Mergesort
165,1764,Quicksort
165,659,Radixsort
166,20410,Bubblesort
166,14706,Insertionsort
166,3406,Heapsort
166,3212,Mergesort
166,1948,Quicksort
166,663,Radixsort
167,20358,Bubblesort
167,14734,Insertionsort
167,3397,Heapsort
167,3228,Mergesort
167,1793,Quicksort
167,667,Radixsort
168,20234,Bubblesort
168,13690,Insertionsort
168,3495,Heapsort
168,3244,Mergesort
168,2215,Quicksort
168,671,Radixsort
169,21162,Bubblesort
169,15188,Insertionsort
169,3486,Heapsort
169,3270,Mergesort
169,1946,Quicksort
169,675,Radixsort
170,20973,Bubblesort
170,14334,Insertionsort
170,3512,Heapsort
170,3284,Mergesort
170,1974,Quicksort
170,679,Radixsort
171,20636,Bubblesort
171,13174,Insertionsort
171,3545,Heapsort
171,3300,Mergesort
171,2016,Quicksort
171,683,Radixsort
172,21993,Bubblesort
172,16162,Insertionsort
172,3559,Heapsort
172,3316,Mergesort
172,2022,Quicksort
172,687,Radixsort
173,21971,Bubblesort
173,15150,Insertionsort
173,3571,Heapsort
173,3336,Mergesort
173,1929,Quicksort
173,691,Radixsort
174,21930,Bubblesort
174,14932,Insertionsort
174,3573,Heapsort
174,3352,Mergesort
174,2167,Quicksort
174,695,Radixsort
175,22409,Bubblesort
175,15686,Insertionsort
175,3651,Heapsort
175,3370,Mergesort
175,2424,Quicksort
175,699,Radixsort
176,23560,Bubblesort
176,17302,Insertionsort
176,3671,Heapsort
176,3388,Mergesort
176,2365,Quicksort
176,703,Radixsort
177,23306,Bubblesort
177,16782,Insertionsort
177,3689,Heapsort
177,3430,Mergesort
177,2289,Quicksort
177,707,Radixsort
178,23799,Bubblesort
178,17828,Insertionsort
178,3667,Heapsort
178,3444,Mergesort
178,2420,Quicksort
178,711,Radixsort
179,23447,Bubblesort
179,16610,Insertionsort
179,3748,Heapsort
179,3460,Mergesort
179,2208,Quicksort
179,715,Radixsort
180,24106,Bubblesort
180,17460,Insertionsort
180,3774,Heapsort
180,3476,Mergesort
180,2065,Quicksort
180,719,Radixsort
181,24049,Bubblesort
181,17042,Insertionsort
181,3687,Heapsort
181,3496,Mergesort
181,2270,Quicksort
181,723,Radixsort
182,23716,Bubblesort
182,15230,Insertionsort
182,3872,Heapsort
182,3512,Mergesort
